Name,Team,AVG,GP,AB,R,H,2B,3B,HR,RBI,BB,K,HBP,SB,SH,SF,TB,OBP,SLG,1B,PA,wOBA,wRC,wRAA,wRC+,wSB,Off,Rep,RAR,WAR
Alex Acuna,Guapos,0.0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.0,0,5,0.1701706222206643,-0.43167007274287406,-1.3666458401095947,-46.11275984918661,-0.04267589388696655,-1.4093217339965611,0.22082763337893296,-1.1884941006176282,-0.08969998322765849
Valente Gutierrez,Hard Knocks,0.217,7,23,4,5,0,0,0,1,3,9,2,3,0,0,5,0.357,0.217,5,28,0.3254771955408068,2.59913622348,-2.6367280737736354,49.580418694327925,0.1732410611303346,-2.463487012643301,1.2366347469220245,-1.2268522657212764,-0.09259501380850273
Adam Pracher,Cardinals,0.0,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,0.0,0,3,0.0,-0.8479240798366274,-1.4089095402566598,-150.96452102645176,0.0,-1.4089095402566598,0.13249658002735976,-1.2764129602293002,-0.09633554012984549
Devan Semper,Breakers,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3,0.0,-0.8479240798366274,-1.4089095402566598,-150.96452102645176,0.0,-1.4089095402566598,0.13249658002735976,-1.2764129602293002,-0.09633554012984549
Released Player AH,Hard Knocks,0.0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0,3,0.0,-0.8479240798366274,-1.4089095402566598,-150.96452102645176,0.0,-1.4089095402566598,0.13249658002735976,-1.2764129602293002,-0.09633554012984549
Fernando Hernandez,Guapos,0.0,3,8,5,0,0,0,0,0,3,5,1,0,0,0,0,0.333,0.0,0,12,0.2834277503522317,0.5318210462772267,-1.7121207954029027,23.671373249152495,-0.1707035755478662,-1.882824370950769,0.529986320109439,-1.35283805084133,-0.1021036203773695
Joselito Garcia,Breakers,0.143,4,7,0,1,0,0,0,0,1,1,0,0,0,0,1,0.25,0.143,1,8,0.22794800888789002,-0.15746020224705526,-1.6534214300338081,-10.512838610003389,-0.0853517877739331,-1.7387732178077413,0.3533242134062927,-1.3854490044014485,-0.1045648879477011
Alec Cannold,Cardinals,0.222,4,9,0,2,0,0,0,2,0,5,0,1,0,0,2,0.222,0.222,2,9,0.2161624355555108,-0.29950433884498995,-1.982460720105087,-17.77459803861593,0.11464821222606691,-1.86781250787902,0.3974897400820793,-1.4703227677969406,-0.1109706203355081
Ryan Williams,Cardinals,0.292,8,24,4,7,0,0,0,2,2,4,0,0,0,0,7,0.346,0.292,7,26,0.3273393439309705,2.4693357477126963,-2.392538242594251,50.72779381545132,-0.38408304498269896,-2.77662128757695,1.1483036935704514,-1.6283175940064984,-0.12289506594587274
Joel Castellon,Hard Knocks,0.25,6,20,1,5,0,0,0,2,1,4,1,2,0,0,5,0.318,0.25,5,22,0.2983218900917786,1.3530037445143552,-2.7608896318992153,32.848496553589385,0.10126874279123421,-2.6596208891079813,0.971641586867305,-1.6879793022406764,-0.12739795260316292
Sam Pressman,Cardinals,0.143,3,7,1,1,0,0,0,1,0,1,0,1,0,0,1,0.143,0.143,1,7,0.13896156571425694,-0.8563555692863511,-2.1653216435997598,-65.3424276771287,0.15732410611303346,-2.0079975374867263,0.3091586867305061,-1.6988388507562202,-0.12821756232541398
Dirk Ryan,Hard Knocks,0.0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,4,0.0,-1.1305654397821698,-1.8785460536755463,-150.96452102645173,0.0,-1.8785460536755463,0.17666210670314636,-1.7018839469723999,-0.12844738683979395
Sonny Schnapf,Cardinals,0.0,2,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0.0,0.0,0,4,0.0,-1.1305654397821698,-1.8785460536755463,-150.96452102645173,0.0,-1.8785460536755463,0.17666210670314636,-1.7018839469723999,-0.12844738683979395
William Greene,Hard Knocks,0.263,4,19,2,5,2,0,0,2,0,3,0,0,0,0,7,0.263,0.368,3,19,0.2965233782978096,1.1290830310734696,-2.4238248849200685,31.740331544642068,-0.12802768166089964,-2.551852566580968,0.8391450068399452,-1.7127075597410228,-0.12926428436019696
Kyle Henke,Legends,0.273,8,22,4,6,0,0,0,4,2,5,0,2,0,1,6,0.32,0.273,6,25,0.3015236792882174,1.6298431573257917,-3.0450356795078113,34.82130027131698,0.058592848904267636,-2.9864428306035435,1.1041381668946648,-1.8823046637088787,-0.142064396176882
Alexander English,Mariners,0.143,1,7,1,1,0,0,0,0,0,1,0,0,0,0,1,0.143,0.143,1,7,0.13896156571425694,-0.8563555692863511,-2.1653216435997598,-65.3424276771287,-0.04267589388696655,-2.2079975374867264,0.3091586867305061,-1.8988388507562204,-0.14331229155983657
Reid McCann,Mariners,0.2,2,15,1,3,1,0,0,0,1,6,0,1,0,0,4,0.25,0.267,2,16,0.2596369178082758,0.269976378041771,-2.721946077531735,9.012493475695,0.07197231833910037,-2.6499737591926342,0.7066484268125854,-1.9433253323800488,-0.1466698485333556
Released Player CH,Mariners,0.0,1,6,0,0,0,0,0,0,0,2,1,0,0,0,0,0.143,0.0,0,7,0.12122481013097364,-0.9995823349495763,-2.308548409262985,-76.27104764812691,-0.04267589388696655,-2.3512243031499516,0.3091586867305061,-2.0420656164194453,-0.15412213779387895
Victor DeLeon,Breakers,0.0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,5,0.0,-1.4132067997277122,-2.3481825670944327,-150.96452102645173,0.0,-2.3481825670944327,0.22082763337893296,-2.1273549337155,-0.16055923354974247
Ethan Young,Mariners,0.25,2,16,0,4,0,0,0,0,0,2,0,0,0,0,4,0.25,0.25,4,16,0.24318273999994963,-0.03372595779889531,-3.025648413372401,-1.125857665136469,-0.1707035755478662,-3.1963519889202674,0.7066484268125854,-2.4897035621076817,-0.18790700571996444
Kevin Adams,Mariners,0.182,0,11,0,2,0,0,0,0,0,4,0,0,0,0,2,0.182,0.182,2,11,0.17686017454541791,-0.8647870587360749,-2.92173374694286,-41.99094767276789,-0.0853517877739331,-3.007085534716793,0.4858207934336525,-2.5212647412831406,-0.19028904298982768
Alex Rangel,Breakers,0.19,8,21,3,4,1,0,0,1,3,5,0,0,0,0,5,0.292,0.238,3,24,0.2845261611307856,1.0940529027795538,-3.393830780580705,24.3481663590591,-0.2560553633217993,-3.649886143902504,1.059972640218878,-2.589913503683626,-0.19547021539339537
Albert Esquivel,Cardinals,0.0,3,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0.0,0.0,0,7,0.0,-1.9784895196187973,-3.287455593932206,-150.96452102645173,0.0,-3.287455593932206,0.3091586867305061,-2.9782969072017,-0.22478292696963945
Christian LeClaire,Legends,0.111,7,18,1,2,0,0,0,0,3,8,1,1,0,0,2,0.273,0.111,2,22,0.2430270420102899,-0.05032465251330581,-4.164218028926876,-1.2217920174620553,-0.05605536332179928,-4.220273392248675,0.971641586867305,-3.24863180538137,-0.24518608742282605
Chris Dominiak,Hard Knocks,0.174,7,23,2,4,1,0,0,2,4,5,0,0,0,1,5,0.286,0.217,3,28,0.2742671777943634,0.9450241899822204,-4.290840107271415,18.027025514212003,-0.2987312572087658,-4.5895713644801805,1.2366347469220245,-3.3529366175581563,-0.25305835191110554
Zach Brandt,Guapos,0.222,11,36,8,8,0,0,0,6,6,4,1,3,1,2,8,0.333,0.222,8,46,0.30523422261189187,3.195812128392596,-5.405964931381233,37.107576229733084,-0.04013840830449811,-5.446103339685731,2.031614227086183,-3.414489112599548,-0.25770394314287026
Lewis Carter,Cardinals,0.062,7,16,4,1,0,0,0,3,1,11,2,3,1,0,1,0.211,0.062,1,20,0.1853016533124606,-1.3775797813785062,-5.117482850845389,-36.789674361813105,0.4292964244521339,-4.688186426393255,0.8833105335157319,-3.804875892877523,-0.2871678568678405
Brett Klasko,Legends,0.25,11,32,3,8,0,0,0,7,2,14,0,0,0,0,8,0.294,0.25,8,34,0.2789280559472068,1.3303388184808016,-5.0274963996128985,20.89885660104062,-0.4267589388696655,-5.454255338482564,1.501627906976744,-3.9526274315058196,-0.2983192042156579
Aaron Preski,Guapos,0.2,11,40,5,8,1,0,0,4,3,13,3,3,0,0,9,0.304,0.225,7,46,0.28837549391061945,2.3012003393150664,-6.300576720458762,26.719958364377074,0.04521337946943493,-6.2553633409893274,2.031614227086183,-4.2237491139031444,-0.31878174614250154
Christopher Galarza-Gomez,Hard Knocks,0.148,9,27,4,4,0,0,0,1,4,4,1,0,0,0,4,0.281,0.148,4,32,0.2544659361040405,0.34906637568099974,-5.634778535466012,5.826358691505159,-0.38408304498269896,-6.018861580448711,1.4132968536251709,-4.605564726823539,-0.3475987626150439
Adrian Rangel,Breakers,0.143,9,21,2,3,0,0,0,1,2,6,0,0,0,0,3,0.217,0.143,3,23,0.20086517835678427,-1.171275973780462,-5.4721645036673765,-27.200104847824154,-0.21337946943483274,-5.6855439731022095,1.0158071135430915,-4.6697368595591175,-0.35244206745523876
Isaac Harris,Cardinals,0.111,6,18,0,2,0,0,0,2,0,9,0,0,0,0,2,0.111,0.111,2,18,0.1080812177777554,-2.843276578354873,-6.209189340875066,-84.36955953253384,-0.0853517877739331,-6.294541128649,0.7949794801641586,-5.499561648484841,-0.41507196995946716
Eric Craig,Breakers,0.2,11,40,4,8,0,0,0,3,3,8,0,0,0,0,8,0.256,0.2,8,43,0.24033504682112453,-0.23189669404424068,-8.272688293398037,-2.880482765496699,-0.469434832756632,-8.742123126154668,1.8991176470588234,-6.8430054790958454,-0.5164665742831102
David Odud,Guapos,0.194,10,36,5,7,0,0,0,4,1,6,0,0,0,0,7,0.216,0.194,7,37,0.20702621165140303,-1.6212559386731098,-8.540076617186841,-23.40394318852865,-0.3414071510957324,-8.881483768282573,1.6341244870041038,-7.247359281278469,-0.5469846300773901
Kyle Aube,Legends,0.077,10,26,2,2,0,0,0,3,0,11,1,2,0,0,2,0.111,0.077,2,27,0.10348279966357084,-4.408141633195534,-9.457010776975824,-87.20290545094078,0.2719723183391004,-9.185038458636724,1.192469220246238,-7.992569238390486,-0.6032283427043978
Matthew Berezuk,Breakers,0.081,11,37,4,3,1,0,0,1,4,11,0,0,0,0,4,0.171,0.108,2,41,0.16357926873761897,-3.8514474396422753,-11.518248732049384,-50.174066155882834,-0.2560553633217993,-11.774304095371184,1.8107865937072503,-9.963517501663933,-0.7519829945502385
Pool Players,Breakers,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,0.0,,0.0,,
Kyle Salaya,Breakers,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,0.0,,0.0,,
Eric Dillon,Cardinals,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,0.0,,0.0,,
Michael Mair,Hard Knocks,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,0.0,,0.0,,
Alex Heinen,Legends,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,0.0,,0.0,,
Jason Blomgren,Mariners,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,0.0,,0.0,,
