Name,Team,AVG,GP,AB,R,H,2B,3B,HR,RBI,BB,K,HBP,SB,SH,SF,TB,OBP,SLG,1B,PA,wOBA,wRC,wRAA,wRC+,wSB,Off,Rep,RAR,WAR
Maximino Pecina,Breakers,0.381,6,21,3,8,2,0,1,1,2,5,0,0,0,0,13,0.435,0.619,5,23,0.4827426653190568,6.307666459552726,2.0067779296658106,146.4805843247801,-0.2987312572087658,1.7080466724570447,1.0158071135430915,2.723853786000136,0.20557917686914456
Johnny Silva,Guapos,0.444,2,9,2,4,3,0,0,2,1,1,0,1,0,0,7,0.5,0.778,1,10,0.58972110325916,3.9765576064240173,2.106606071690576,212.3960606839568,0.11464821222606691,2.2212542839166427,0.4416552667578659,2.6629095506745086,0.20097949321594816
Andrew Gerety,Legends,0.345,9,29,7,10,4,0,0,5,2,4,0,6,0,0,14,0.387,0.483,6,31,0.41837401927494866,6.199729035735413,0.40287927806174556,106.81941476303909,0.8585928489042678,1.2614721269660134,1.3691313269493843,2.6306034539153975,0.19854123429994897
Adam Tuszynski,Legends,0.333,11,33,5,11,1,0,0,5,3,3,4,3,0,0,12,0.45,0.364,10,40,0.42580098177011766,8.34235753465488,0.862551395721116,111.39558712260282,-0.12549019607843126,0.7370611996426848,1.7666210670314637,2.5036822666741485,0.18896202952235844
Liam O'Brien,Cardinals,0.444,6,18,3,8,0,1,0,3,0,5,0,4,0,0,10,0.444,0.556,7,18,0.46084703763135565,4.48177972862645,1.1158669661062564,132.98944763398194,0.5012687427912342,1.6171357088974907,0.7949794801641586,2.4121151890616495,0.1820511283056183
David Mair,Hard Knocks,0.381,6,21,7,8,1,0,1,6,2,5,1,0,0,1,12,0.44,0.571,6,25,0.4626604111770171,6.27699136514259,1.6021125283089868,134.10676981012298,-0.38408304498269896,1.218029483326288,1.1041381668946648,2.322167650220953,0.17526245958510317
Matthew Polites,Legends,0.353,6,17,3,6,0,0,1,6,3,5,1,0,0,0,9,0.476,0.529,5,21,0.48032175127140275,5.700526072056434,1.7736278491162067,144.98892202583082,-0.38408304498269896,1.3895448041335077,0.9274760601915184,2.317020864325026,0.17487401288747037
Josh Cimino,Legends,1.0,1,2,0,2,1,0,0,1,1,0,0,0,0,0,3,1.0,1.5,1,3,1.0604865749775378,2.822180107001376,2.2611946465813437,502.4613385032436,-0.0853517877739331,2.175842858807411,0.13249658002735976,2.3083394388347704,0.17421879405174925
Jessey Melendez,Hard Knocks,0.364,7,22,4,8,0,0,0,1,5,8,0,2,0,0,8,0.481,0.364,8,27,0.4457819716857406,6.253438519054113,1.2045693752738216,123.70700701035256,-0.15478662053056513,1.0497827547432563,1.192469220246238,2.242251974989494,0.16923093218907856
Jose Castanon,Hard Knocks,0.364,4,11,4,4,0,0,0,0,4,2,1,0,0,0,4,0.562,0.364,4,16,0.508931872208081,4.871328134809679,1.879405679236173,162.61723840946206,-0.38408304498269896,1.495322634253474,0.7066484268125854,2.201971061066059,0.1661907847441319
Gustavo Hernandez,Guapos,0.467,4,15,3,7,0,0,0,5,2,1,0,0,0,0,7,0.529,0.467,7,17,0.5006366436591314,5.013107987222578,1.8341903781757285,157.50607814351764,-0.38408304498269896,1.4501073331930296,0.750813953488372,2.2009212866814014,0.16611155444366368
Chadrick Fellers,Mariners,1.0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,3,1.0,1.0,3,3,0.9727309599997985,2.518477771160711,1.9574923107406788,448.3901324188094,-0.12802768166089964,1.8294646290797791,0.13249658002735976,1.9619612091071388,0.14807636609956312
Brian Bistagne,Breakers,0.364,4,11,3,4,1,0,0,3,2,2,0,4,0,0,5,0.462,0.455,3,13,0.45982882738734865,3.221571135195682,0.7906341400422086,132.36207061708166,0.5866205305651673,1.3772546706073758,0.5741518467852257,1.9514065173926016,0.14727976503164442
Brent Patella,Guapos,0.667,1,3,1,2,0,0,0,1,1,0,0,2,0,0,2,0.75,0.667,2,4,0.6990787577757297,2.095239187867561,1.3472585739741842,279.77750716776023,0.2719723183391004,1.6192308923132845,0.17666210670314636,1.795892999016431,0.1355425927707409
Michael Hamilton,Hard Knocks,0.667,2,6,0,4,0,0,0,1,0,1,0,0,0,0,4,0.667,0.667,4,6,0.6484873066665323,2.792687641656529,1.6707167208164646,248.60524793705565,-0.1707035755478662,1.5000131452685985,0.2649931600547195,1.765006305323318,0.13321146137952047
