Name,Team,WAR_off,WAR_RA9,WAR
Matthew Polites,Legends,0.1748740128874703,,0.1748740128874703
Doug Allen,Guapos,0.2595824495033721,-0.0867718493019698,0.17281060020140232
Jessey Melendez,Hard Knocks,0.1692309321890785,,0.1692309321890785
Jose Castanon,Hard Knocks,0.1661907847441319,,0.1661907847441319
Alejandro Gutierrez,Hard Knocks,0.2366422074403129,-0.0787205194763957,0.1579216879639172
Chadrick Fellers,Mariners,0.1480763660995631,,0.1480763660995631
Brian Bistagne,Breakers,0.1472797650316444,,0.1472797650316444
Brent Patella,Guapos,0.1355425927707409,,0.1355425927707409
Zane Huffman,Mariners,-0.0148649047200426,0.149825671147257,0.1349607664272144
Michael Hamilton,Hard Knocks,0.1332114613795204,,0.1332114613795204
Scott Savage,Legends,0.0411294408819987,0.0720976166716113,0.11322705755361
Martin Orozco,Legends,0.0493587886998543,0.0579605590957962,0.1073193477956505
Eddie Banuelos,Hard Knocks,0.1055829588162756,,0.1055829588162756
Ryan Stevens,Legends,0.1038015678067628,,0.1038015678067628
Brandon Evans,Legends,0.1033595437296652,,0.1033595437296652
Kyle Henke,Legends,-0.142064396176882,0.2423385838499255,0.1002741876730435
Cesar Oseguera,Breakers,0.0979433962062912,,0.0979433962062912
Alexander English,Mariners,-0.1433122915598365,0.2340175423000562,0.0907052507402197
Omar Morales,Breakers,0.0770978849316239,,0.0770978849316239
Ricky Ramirez,Breakers,0.0761223652279681,,0.0761223652279681
Kevin Logan,Guapos,0.0740720088024778,,0.0740720088024778
Michael Mair,Hard Knocks,,0.0647582325045428,0.0647582325045428
Nick Salerno,Guapos,0.0624314413579048,,0.0624314413579048
Ian Neal,Legends,-0.0254762898077614,0.0860968312253501,0.0606205414175887
Stevie Padilla,Cardinals,-0.0321118467099484,0.0806634172759273,0.0485515705659789
Joel Biery,Cardinals,0.0540007550298109,-0.0057049486461251,0.0482958063836858
Justin Linden,Cardinals,0.0462428770981853,,0.0462428770981853
Brian Nava,Mariners,0.0458426095430824,,0.0458426095430824
Joselito Garcia,Breakers,-0.1045648879477011,0.149825671147257,0.04526078319955591
Samuel Berkley,Cardinals,-0.0294999849257052,0.0720976166716113,0.0425976317459061
Marc Anthony Rodriguez,Breakers,0.2258262657586103,-0.1840319474074615,0.0417943183511488
Nick Johnson,Mariners,0.0411608042500552,,0.0411608042500552
Neer Patel,Mariners,0.036875921249675,,0.036875921249675
Released Player BW,Mariners,0.0344938839798117,,0.0344938839798117
Sam Maier,Cardinals,0.0060943750134275,0.0261528717229966,0.0322472467364241
Kenneth Rodriguez,Legends,0.0236840377457693,,0.0236840377457693
DJ Alexander,Guapos,0.0172861681652367,,0.0172861681652367
Paul Galloway,Hard Knocks,0.0138893850163868,,0.0138893850163868
Gil Rodriguez,Guapos,0.0136595605020067,,0.0136595605020067
Jobe Lowen,Legends,0.0130726526580504,,0.0130726526580504
Nick Granado,Legends,0.0113088866002,,0.0113088866002
Kian Stevens-Winston,Cardinals,0.0066355569021869,,0.0066355569021869
Jason Blomgren,Mariners,,,0.0
Eric Dillon,Cardinals,,,0.0
Pool Players,Breakers,,,0.0
Alex Heinen,Legends,,,0.0
Jason Torres,Breakers,-0.0023993354771425,,-0.0023993354771425
Kyle Jaffe,Cardinals,-0.0034848157887154,,-0.0034848157887154
Matt Lynus,Guapos,-0.0084278089641791,,-0.0084278089641791
Christian Carter,Mariners,-0.010222938390086,,-0.010222938390086
Kevin Ibarra,Hard Knocks,-0.0118138519418399,,-0.0118138519418399
Released Player DP,Mariners,-0.0148649047200426,,-0.0148649047200426
Jonathan Torres,Cardinals,-0.0148649047200426,,-0.0148649047200426
Kenny Lutz,Breakers,-0.0176725154487611,,-0.0176725154487611
Louie Opatz,Cardinals,-0.0469767514299911,,-0.0469767514299911
Mike Kijanski,Breakers,-0.0485705423456597,,-0.0485705423456597
Adrian Rangel,Breakers,-0.3524420674552387,0.3028532680444537,-0.04958879941078498
Released Player GW,Mariners,-0.0577865976640335,,-0.0577865976640335
Justin McManus,Legends,-0.0593803885797021,,-0.0593803885797021
Harry Goldstein,Cardinals,-0.0722232167233726,,-0.0722232167233726
Yuyi Contreras,Hard Knocks,-0.0760375453617369,,-0.0760375453617369
Valente Gutierrez,Hard Knocks,-0.0925950138085027,,-0.0925950138085027
Devan Semper,Breakers,-0.0963355401298454,,-0.0963355401298454
Adam Pracher,Cardinals,-0.0963355401298454,,-0.0963355401298454
Released Player AH,Hard Knocks,-0.0963355401298454,,-0.0963355401298454
Alec Cannold,Cardinals,-0.1109706203355081,,-0.1109706203355081
Ryan Williams,Cardinals,-0.1228950659458727,,-0.1228950659458727
Gustavo Hernandez,Guapos,0.1661115544436636,-0.2912973359861842,-0.12518578154252058
Joel Castellon,Hard Knocks,-0.1273979526031629,,-0.1273979526031629
Sam Pressman,Cardinals,-0.1282175623254139,,-0.1282175623254139
Sonny Schnapf,Cardinals,-0.1284473868397939,,-0.1284473868397939
Dirk Ryan,Hard Knocks,-0.1284473868397939,,-0.1284473868397939
William Greene,Hard Knocks,-0.1292642843601969,,-0.1292642843601969
