outcome,run_exp_change
1B,0.9894420274992067
2B,1.3131002187833754
3B,1.3581157801402262
BB,0.8445965663006678
HBP,0.8448731566030815
HR,1.7903280886559125
wOBA_scale,0.8627529612681757
runSB,0.2
