1B_b,2B_b,3B_b,0,1,2
0,0,0,0.9134398588373689,0.4823807115157646,0.15623205054566341
0,0,1,1.646153846153846,1.125,0.44660194174757284
0,1,0,1.5724962630792227,0.9961832061068703,0.5311986863711001
0,1,1,2.311111111111111,1.5,0.8865248226950354
1,0,0,1.4387577639751552,0.8341311134235172,0.3464566929133858
1,0,1,2.1731517509727625,1.3761316872427984,0.6892935982339956
1,1,0,2.101653398652786,1.378428927680798,0.6673789173789174
1,1,1,2.9981884057971016,2.1990324809951622,1.1081297557068481
