,Name,Team,WAR_off,WAR_RA9,WAR
64,Kyle Henke,Legends,0.23917402128036808,2.362319034638866,2.6014930559192337
30,David Whitaker,Hard Knocks,-0.03085493265128406,2.115369232270022,2.0845142996187382
17,Brian Holman,Legends,0.5694826752975551,0.8968843703241277,1.4663670456216829
54,Jose Holguin,Hard Knocks,1.0318864743243716,0.28164603419095974,1.3135325085153313
26,Danny Torres,Guapos,-0.2931892916130158,1.6055104328582441,1.3123211412452283
60,Kellen Hatheway,Legends,1.1288177074789993,,1.1288177074789993
66,Kyle Salaya,Coyotes,-0.20713719688110244,1.3348644178362774,1.127727220955175
22,Cody Stevens,Legends,0.7943939857385821,0.14082301709547987,0.935217002834062
16,Brett Klasko,Legends,-0.2247805244460772,1.0394189057044203,0.8146383812583431
41,George Aceves,Legends,0.709844004904891,,0.709844004904891
11,Andrew Gerety,Legends,0.6289173709288715,,0.6289173709288715
70,Maximino Pecina,Coyotes,0.5435412540376979,,0.5435412540376979
18,Chad Crunelle,Hard Knocks,0.022086215608258818,0.46388204114568404,0.48596825675394284
33,Dylan Plunkett,Guapos,0.46804970115962613,,0.46804970115962613
49,Jesse Martinez,Hard Knocks,0.24041211883219743,0.15285925925925928,0.39327137809145674
76,Paul Galloway,Hard Knocks,0.37583460230725546,,0.37583460230725546
8,Alexander Delk,Legends,0.3113264930906955,0.04638476533213376,0.35771125842282925
6,Alex Torres,Guapos,-0.03765547663616488,0.3927215970947235,0.3550661204585586
38,Fabian De La Barcena,Hard Knocks,0.35035686116902115,,0.35035686116902115
75,Nick Salerno,Guapos,0.342597716093759,,0.342597716093759
19,Charlie Greene,Hard Knocks,0.33015740173576774,,0.33015740173576774
45,Jake Sahagian,Legends,0.42019163712191154,-0.10475895728763013,0.3154326798342814
32,Derek Chance,Legends,0.2994917571035016,,0.2994917571035016
69,Matthew Polites,Legends,0.26186478553023185,,0.26186478553023185
25,DaJohn Murray,Coyotes,0.2848536568583811,-0.038828382838283826,0.24602527402009727
73,Mitchell Miller,Hard Knocks,0.21476896752393174,,0.21476896752393174
40,Gabriel Tiscareno,Coyotes,0.2069182464492683,,0.2069182464492683
3,Alex Gutierrez,Hard Knocks,0.20468307900699373,,0.20468307900699373
39,Fernando Hernandez,Guapos,0.35361137632058476,-0.16786027203229226,0.1857511042882925
71,Michael Mair,Hard Knocks,-0.045106044863540896,0.22792862053878366,0.18282257567524277
62,Kevin Biederman,Guapos,0.18234949337991646,,0.18234949337991646
27,David Mair,Hard Knocks,0.18125052746927325,,0.18125052746927325
51,Jobe Lowen,Legends,0.17436371437078052,,0.17436371437078052
50,Jessey Melendez,Hard Knocks,0.17400237931691218,,0.17400237931691218
58,Joshua Weiss,Coyotes,0.15481363902373518,,0.15481363902373518
43,Glenn Morris,Coyotes,0.12892648323904693,,0.12892648323904693
24,DJ Alexander,Guapos,0.1226792298067494,,0.1226792298067494
46,Jake Vollen,Coyotes,-0.17524275710387083,0.29226755746440786,0.11702480036053703
52,Joel Castellon,Hard Knocks,0.110837780214201,,0.110837780214201
