,Name,Team,GP,GS,IP,R,ER,H,BB,HBP,K,CG,W,L,S,ERA,IP_dec,IP_p_G,RA9,dRPW,RAAP9,WPGAA,Rep,WPGAR,WAR
10,Jake Sahagian,Legends,2.0,0.0,2.0,3.0,3.0,4.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,13.5,2.0,1.0,13.5,12.749005305039788,-7.412466843501326,-0.5814153077943356,0.11,-0.4714153077943356,-0.10475895728763013
3,Adrian Rangel,Coyotes,4.0,1.0,14.0,13.0,5.0,17.0,4.0,0.0,13.0,0.0,0.0,1.0,0.0,3.21,14.0,3.5,8.357142857142858,12.79326923076923,-2.2696097006441835,-0.1774065455595604,0.11,-0.0674065455595604,-0.10485462642598284
7,Silverio Moreno,Legends,1.0,0.0,3.0,4.0,2.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,12.0,13.60941644562334,-5.912466843501326,-0.4344394094430639,0.11,-0.32443940944306393,-0.10814646981435463
8,Alex Van Horn,Hard Knocks,1.0,0.0,0.2,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,0.6666666666666667,0.6666666666666667,26.999999999999996,13.293103448275863,-20.91246684350132,-1.573181682131098,0.11,-1.463181682131098,-0.10838382830600726
3,Jamil Mamdani,Hard Knocks,1.0,0.0,0.1,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.33333333333333337,53.99999999999999,13.462201591511938,-47.91246684350132,-3.559036500664991,0.11,-3.4490365006649912,-0.12774209261722191
9,Kyle Aube,Legends,6.0,1.0,6.1,7.0,7.0,9.0,7.0,1.0,4.0,0.0,0.0,0.0,1.0,9.95,6.333333333333332,1.0555555555555554,9.947368421052634,12.470822281167107,-3.8598352645539595,-0.30950928315151394,0.11,-0.19950928315151395,-0.14039542147699127
6,Fernando Hernandez,Guapos,2.0,1.0,3.1,5.0,5.0,9.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,13.5,3.3333333333333335,1.6666666666666667,13.5,13.16080901856764,-7.412466843501326,-0.5632227344871891,0.11,-0.4532227344871891,-0.16786027203229226
9,Willie Barcena,Hard Knocks,1.0,1.0,0.2,4.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,27.0,0.6666666666666667,0.6666666666666667,53.99999999999999,14.793103448275863,-47.91246684350132,-3.2388380849919307,0.11,-3.128838084991931,-0.2317657840734764
6,Andre Fuller,Coyotes,1.0,1.0,5.0,8.0,6.0,8.0,5.0,3.0,1.0,0.0,0.0,1.0,0.0,10.8,5.0,5.0,14.4,15.594827586206897,-8.312466843501326,-0.533027171833142,0.11,-0.423027171833142,-0.23501509546285668
7,Eric Carrero,Hard Knocks,2.0,0.0,2.0,5.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,1.0,22.5,13.499005305039788,-16.412466843501328,-1.215827868248471,0.11,-1.105827868248471,-0.245739526277438
8,Ian Neal,Legends,6.0,0.0,11.0,14.0,9.0,13.0,10.0,0.0,12.0,0.0,2.0,0.0,0.0,7.36,11.0,1.8333333333333333,11.454545454545455,12.951259946949603,-5.367012298046781,-0.41440078571744426,0.11,-0.3044007857174443,-0.37204540476576525
7,Alex Rangel,Coyotes,3.0,0.0,3.0,10.0,7.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,21.0,3.0,1.0,30.0,14.12400530503979,-23.912466843501328,-1.6930372317949198,0.11,-1.5830372317949197,-0.5276790772649732
5,Zach Brandt,Guapos,3.0,1.0,13.0,22.0,7.0,24.0,4.0,3.0,9.0,1.0,0.0,1.0,0.0,4.85,13.0,4.333333333333333,15.23076923076923,15.433023872679044,-9.143236074270556,-0.5924461822713015,0.11,-0.48244618227130154,-0.6968667077252133
7,Johnny Silva,Guapos,4.0,3.0,7.1,20.0,12.0,22.0,5.0,1.0,6.0,0.0,0.0,2.0,0.0,14.73,7.333333333333332,1.833333333333333,24.54545454545455,14.951259946949602,-18.457921388955874,-1.2345395274009474,0.11,-1.1245395274009473,-0.916291466771142
