,Name,Team,AVG,GP,AB,R,H,2B,3B,HR,RBI,BB,K,HBP,SB,SH,SF,TB,OBP,SLG,1B,PA,wOBA,wRC,wRAA,wRC+,wSB,Off,Rep,RAR,WAR
14,Jake Vollen,Coyotes,0.143,6.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.143,0.143,2.0,14.0,0.13682960550444603,-0.6613312559216374,-2.6405159913943175,-33.34068153836268,-0.051533742331288344,-2.692049733725606,0.5661273209549073,-2.1259224127706986,-0.17524275710387083
11,Robert Reeves III,Guapos,0.167,11.0,36.0,2.0,6.0,0.0,1.0,0.0,2.0,3.0,8.0,0.0,2.0,0.0,0.0,8.0,0.231,0.222,5.0,39.0,0.2282466323672216,1.42587141829095,-4.087571773382944,25.804723902018598,0.19386503067484664,-3.893706742708097,1.5770689655172416,-2.3166377771908557,-0.19096369126510387
17,Kyle Salaya,Coyotes,0.118,11.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,0.167,0.118,2.0,18.0,0.15086165770918689,-0.6187547037032387,-3.163420792168113,-24.262160334038356,-0.07730061349693251,-3.2407214056650453,0.7278779840848807,-2.5128434215801647,-0.20713719688110244
17,Brett Klasko,Legends,0.148,10.0,27.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,5.0,0.207,0.185,3.0,29.0,0.2007383037343416,0.3290019407401062,-3.770737868453302,8.007259842930532,-0.12883435582822086,-3.899572224281523,1.172692307692308,-2.7268799165892155,-0.2247805244460772
19,Yuyi Contreras,Hard Knocks,0.111,12.0,36.0,7.0,4.0,0.0,0.0,0.0,1.0,6.0,9.0,2.0,0.0,0.0,0.0,4.0,0.273,0.111,4.0,44.0,0.23247313799606603,1.7791441224858642,-4.441150760428273,28.539207811556544,-0.30920245398773005,-4.750353214416003,1.7792572944297085,-2.9710959199862943,-0.24491159108665853
14,Will Greene,Hard Knocks,0.206,10.0,34.0,2.0,7.0,0.0,0.0,0.0,4.0,1.0,5.0,1.0,0.0,0.0,2.0,7.0,0.237,0.206,7.0,38.0,0.21851722382007435,1.0504036453682652,-4.32166920805758,19.509946736710734,-0.23190184049079754,-4.553571048548378,1.5366312997347482,-3.0169397488136296,-0.24869056199906817
19,Alex Oppenheimer,Legends,0.133,11.0,30.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,12.0,1.0,2.0,0.0,0.0,4.0,0.212,0.133,4.0,33.0,0.18879176215977506,0.012999450524147999,-4.652221711661455,0.2780318283425293,0.2196319018404908,-4.432589809820964,1.3344429708222814,-3.098146838998683,-0.2553845759926759
20,Jamil Mamdani,Hard Knocks,0.095,7.0,21.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,0.174,0.095,2.0,23.0,0.15284370436819494,-0.7488429540635874,-4.000360733768704,-22.97980673677299,-0.10306748466257669,-4.103428218431281,0.9300663129973475,-3.1733619054339335,-0.2615846590901045
18,Ian Neal,Legends,0.136,7.0,22.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.136,0.136,3.0,22.0,0.13061007798151666,-1.164661686461204,-4.274809127918273,-37.36461985286782,-0.07730061349693251,-4.352109741415205,0.8896286472148542,-3.462481094200351,-0.28541715808757673
9,Eric Craig,Coyotes,0.25,15.0,56.0,1.0,14.0,0.0,0.0,0.0,3.0,0.0,19.0,0.0,1.0,0.0,1.0,14.0,0.246,0.25,14.0,57.0,0.2352509006918546,2.44993811427719,-5.608171165861578,30.336377403455383,-0.16073619631901842,-5.768907362180597,2.3049469496021224,-3.4639604125784746,-0.28553910036997593
16,Danny Torres,Guapos,0.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,-2.244642433523719,-4.082456830748351,-121.86732445747559,0.0,-4.082456830748351,0.5256896551724138,-3.5567671755759367,-0.2931892916130158
19,Christian Carter,Coyotes,0.053,6.0,19.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.1,0.053,1.0,20.0,0.0878851300117121,-1.8420722989511478,-4.669479063912119,-65.00700176807158,-0.051533742331288344,-4.721012806243407,0.8087533156498674,-3.9122594905935397,-0.32249302021510096
14,Johnny Silva,Guapos,0.1,10.0,30.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,7.0,2.0,2.0,0.0,0.0,3.0,0.182,0.1,3.0,33.0,0.15974345529636927,-0.8657098519052715,-5.530931014090874,-18.51577437771266,0.245398773006135,-5.285532241084739,1.3344429708222814,-3.9510892702624574,-0.3256938132478291
21,Deandrey Carter,Coyotes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,,
22,TJ Carter,Coyotes,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,,
26,Kyle Ramirez,Coyotes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,,
21,Brandon Kaufman,Hard Knocks,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,,
